index,title,description,figure,references,definition,keywords,prediction,object
11.6.1,implement risk responses: inputs,,[],[],"""Implementing risk responses involves gathering the appropriate inputs, identifying the specific options or strategies available, making informed decisions with respect to which response is best, and then executing the action plan, monitoring it, and taking corrective action if necessary.""

Inputs: Gathering the appropriate inputs to identify specific options or strategies available for risk responses.",[],,
11.6.1.1,project management plan,"  project management plan components include but are not limited to the risk management plan.  , the risk management plan lists the roles and responsibilities of project team members and other stakeholders for risk management. this information is used when allocating owners for agreed-upon risk responses. the risk management plan also defines the level of detail for the risk management methodology for the project. it also specifies risk thresholds for the project based on the risk appetite of key stakeholders, which define the acceptable target that the implementation of risk responses is required to achieve.",[],"['section 4.2.3.1.', 'section 11.1.3.1']","

Project management plan is a set of components that specifies the level of detail for the risk management methodology for the project, lists the roles and responsibilities of project team members and other stakeholders for risk management, and defines the risk thresholds for the project based on the risk appetite of key stakeholders.","['management plan components include', 'project management plan components', 'risk management plan', 'risk management', 'risk management plan lists', 'plan components include', 'management plan components', 'management plan', 'project management plan', 'risk']",,
11.6.1.2,project documents,"project documents that can be considered as inputs for this process include but are not limited to:  lessons learned register.   lessons learned earlier in the project with regard to implementing risk responses can be applied to later phases in the project to improve the effectiveness of this process.  risk register.   the risk register records the agreed-upon risk responses for each individual risk and the nominated owners for each response plan.  risk report.   the risk report includes an assessment of the current overall project risk exposure, as well as the agreed-upon risk response strategy. it also describes the major individual project risks with their planned responses.",[],"['section 4.4.3.1.', 'section 11.2.3.1.', 'section 11.2.3.2.']","

Project documents are documents that include but are not limited to: the lessons learned register, the risk register, and the risk report. These documents provide information related to implementing risk responses, recording agreed-upon risk responses for each individual risk, assessing the current overall project risk exposure, and describing the major individual project risks with their planned responses.","['risk', 'lessons learned', 'lessons learned register', 'considered as inputs', 'lessons learned earlier', 'project', 'risk register', 'project documents', 'register', 'risk responses']",,
11.6.1.3,organizational process assets,"the organizational process assets that can influence the implement risk responses process include but are not limited to the lessons learned repository from similar completed projects that indicate the effectiveness of particular risk responses.not for distribution, sale or reproduction.",[],[],"

Organizational process assets are the resources and knowledge available to an organization to influence the implement risk responses process, such as the lessons learned repository from similar completed projects that indicate the effectiveness of particular risk responses.","['risk responses process include', 'implement risk responses process', 'risk responses.not for distribution', 'lessons learned repository', 'learned repository from similar', 'repository from similar completed', 'similar completed projects', 'influence the implement risk', 'organizational process assets', 'implement risk responses']",,
11.6.2,implement risk responses: tools and techniques,,[],[],"
""Implement risk responses: tools and techniques refers to how a risk response strategy is carried out, including the use of tools, techniques, and resources to execute the risk response and manage the outcomes""",[],,
11.6.2.1,expert judgment,"  expertise should be considered from individuals or groups with specialized knowledge to validate or modify risk responses if necessary, and decide how to implement them in the most efficient and effective manner.",[],['section 4.1.2.1.'],"

Expert judgment is the process of utilizing the specialized knowledge of individuals or groups to validate or modify risk responses and decide how best to implement them.","['efficient and effective manner', 'groups with specialized knowledge', 'specialized knowledge to validate', 'validate or modify risk', 'modify risk responses', 'expertise should be considered', 'effective manner', 'considered from individuals', 'individuals or groups', 'groups with specialized']",,
11.6.2.2,interpersonal and team skills,interpersonal and team skills that can be used for this process include but are not limited to influencing. some risk response actions may be owned by people outside the immediate project team or who have other competing demands. the project manager or person responsible for facilitating the risk process may need to exercise influencing () to encourage nominated risk owners to take necessary action where required.,[],['section 9.5.2.1'],"

Interpersonal and team skills are abilities used to influence people and work with teams, such as the ability to influence and motivate others, positively engage with team members, and communicate effectively.","['interpersonal and team skills', 'team skills', 'process include', 'interpersonal and team', 'limited to influencing', 'interpersonal', 'influencing', 'team', 'risk', 'exercise influencing']",,
11.6.2.3,project management information system (pmis),"  project management information systems can include schedule, resource, and cost software to ensure that agreed-upon risk response plans and their associated activities are integrated into the project alongside other project activities.",[],['section 4.3.2.2.'],"

A Project Management Information System (PMIS) is a system of software tools that are used to manage project-related activities, including scheduling, resource allocation, risk response planning, tracking progress, and budgeting.","['agreed-upon risk response plans', 'project management information systems', 'systems can include schedule', 'management information systems', 'information systems can include', 'cost software to ensure', 'ensure that agreed-upon risk', 'agreed-upon risk response', 'risk response plans', 'project management information']",,
11.6.3,implement risk responses: outputs,,[],[],"
Implement risk responses: outputs are components of a risk response plan, including assumes (accept), avoidance, mitigation, and transfer (outsource and insure) actions taken in response to risks that can negatively impact an organization objectives.",[],,
11.6.3.1,change requests,"  implementation of risk responses may result in a change request to the cost and schedule baselines or other components of the project management plan. change requests are processed for review and disposition through the perform integrated change control process ().not for distribution, sale or reproduction.",[],"['section 4.3.3.4.', 'section 4.6']","

Change requests are requests for the implementation of changes to cost and schedule baselines, or other components of the project management plan.","['implementation of risk responses', 'project management plan', 'risk responses may result', 'cost and schedule baselines', 'implementation of risk', 'management plan', 'risk responses', 'responses may result', 'cost and schedule', 'schedule baselines']",,
11.6.3.2,project documents updates,"project documents that may be updated as a result of carrying out this process include but are not limited to:  issue log.   where issues are identified as part of the implement risk responses process, they are recorded in the issue log.  lessons learned register.   the lessons learned register is updated with information on challenges encountered when implementing risk responses and how they could have been avoided, as well as approaches that worked well for implementing risk responses.  project team assignments.   once the risk responses are confirmed, the necessary resources should be allocated to each action associated with a risk response plan. these resources include suitably qualified and experienced personnel to execute the agreed-upon action (usually within the project team), a specific budget and time allowance for the action, and any required technical resources to complete the action.  risk register.   the risk register may be updated to reflect any changes to the previously agreed-upon risk responses for individual project risks that are subsequently made as a result of the implement risk responses process.  risk report.   the risk report may be updated to reflect any changes to the previously agreed-upon risk response to overall project risk exposure that are subsequently made as a result of the implement risk responses process.ction.",[],"['section 4.3.3.3.', 'section 4.4.3.1.', 'section 9.3.3.2.', 'section 11.2.3.1.', 'section 11.2.3.2.']","

Project documents updates refers to the updating of project documents such as the issue log, lessons learned register, project team assignments, risk register, and risk report as a result of carrying out the implement risk responses process.","['risk', 'risk responses', 'implement risk responses process', 'risk responses process', 'issue log', 'implement risk responses', 'responses', 'implement risk', 'implementing risk responses', 'responses process']",,
11.7,monitor risks,"monitor risks is the process of monitoring the implementation of agreed-upon risk response plans, tracking identified risks, identifying and analyzing new risks, and evaluating risk process effectiveness throughout the project. the key benefit of this process is that it enables project decisions to be based on current information about overall project risk exposure and individual project risks. this process is performed throughout the project. the inputs, tools and techniques, and outputs of the process  in .  depicts the data flow diagram for the process.not for distribution, snot for distribution in order to ensure that the project team and key stakeholders are aware of the current level of risk exposure, project work should be continuously monitored for new, changing, and outdated individual project risks and for changes in the level of overall project risk by applying the monitor risks process. the monitor risks process uses performance information generated during project execution to determine if:  implemented risk responses are effective,  level of overall project risk has changed,  status of identified individual project risks has changed,  new individual project risks have arisen,  risk management approach is still appropriate,  project assumptions are still valid,  risk management policies and procedures are being followed,  contingency reserves for cost or schedule require modification, and  project strategy is still valid.not for distribution, sale or reproduction.","['https://i.ibb.co/XLDZPv9/figure-11-19.png', 'https://i.ibb.co/yR1jmn1/figure-11-20.png']","['figure 11-20', 'figure 11-21']","

Definition of monitor risks: The process of monitoring the implementation of agreed-upon risk response plans, tracking identified risks, identifying and analyzing new risks, and evaluating risk process effectiveness throughout the project.","['effectiveness throughout the project', 'risks is the process', 'evaluating risk process effectiveness', 'agreed-upon risk response plans', 'individual project risks', 'implementation of agreed-upon risk', 'project', 'project risks', 'monitor risks process', 'evaluating risk process']",has part,issue log
11.7.1,monitor risks: inputs,,[],[],"Monitor risks: inputs involve scanning, reviewing and assessing the potential risks that exist and what can be done to reduce or control their impact.",[],,
11.7.1.1,project management plan,"  project management plan components include but are not limited to the risk management plan.   the risk management plan provides guidance on how and when risks should be reviewed, which policies and procedures should be followed, the roles and responsibilities in the monitoring process, and reporting formats.",[],"['section 4.2.3.1.', 'section 11.3.1.1.']","

Project Management Plan - Components that provide guidance on how and when risks should be reviewed, which policies and procedures should be followed, the roles and responsibilities in the monitoring process, and reporting formats.","['project management plan components', 'management plan components include', 'project management plan', 'plan components include', 'risk management plan', 'management plan components', 'management plan', 'project management', 'risk management', 'components include']",,
11.7.1.2,project documents,"project documents that should be considered as inputs for this process include but are not limited to:  issue log.   the issue log is used to if any of the open issues have been updated and necessitate an update to the risk register.  lessons learned register.   risk-related lessons from earlier in the project can be applied to later phases in the project.  risk register.   the risk register has key inputs that include identified individual project risks, risk owners, agreed-upon risk responses, and specific implementation actions. it may also provide other details including control actions for assessing the effectiveness of response plans, symptoms and warning signs of risk, residual and secondary risks, and a watch list of low-priority risks.  risk report.   the risk report includes an assessment of the current overall project risk exposure as well as the agreed-upon risk response strategy. it also describes the major individual risks with planned responses and risk owners.not for distribution, sale or reproduction.",[],"['section 4.3.3.3.', 'section 4.4.3.1.', 'section 11.2.3.1.', 'section 11.2.3.2.']","

Project documents are documents that provide information related to a project, such as an issue log, lessons learned register, risk register, and risk report.","['risk', 'issue log', 'risk register', 'project', 'register', 'risks', 'project documents', 'issue', 'log', 'process include']",,
11.7.1.3,work performance data,"  work performance data contains data on project status such as risk responses that have been implemented, risks that have occurred, risks that are active and those that have been closed out.",[],['section 4.3.3.2.']," It also includes metrics such as performance reviews, cost reports, time logs, estimates and actuals, and operational performance metrics like customer service and compliance rates.

Work performance data is data relating to project status, such as risk responses implemented, active and closed out risks, and metrics like performance reviews, cost reports, time logs, estimates and actuals, and operational performance metrics such as customer service and compliance rates.","['work performance data', 'data on project status', 'performance data contains data', 'work performance', 'project status', 'performance data', 'risk responses', 'risks that have occurred', 'data on project', 'status such as risk']",,
11.7.1.4,work performance reports,"  5.3.1. work performance reports provide information from performance measurements that can be analyzed to provide project work performance information including variance analysis, earned value data, and forecasting data. this information could be relevant when monitoring performance-related risks.",[],['section 4'],"

Work performance reports provide information from performance measurements that can be analyzed to provide project work performance information including variance analysis, earned value data, and forecasting data.","['performance', 'work performance', 'data', 'information', 'including variance analysis', 'work', 'information including variance analysis', 'forecasting data', 'variance analysis', 'provide']",,
11.7.2,monitor risks: tools and techniques,,[],[],"
""Monitor Risks: Tools and techniques are used to identify and assess business risks, monitor them, and respond to them as they move through the project life cycle, as well as to provide proactive and preventive solutions to reduce or mitigate those risks.""

Monitor Risks: Tools and techniques are used to identify and assess business risks, monitor them, and respond to them as they move through the project life cycle, as well as to provide proactive and preventive solutions to reduce or mitigate those risks.",[],,
11.7.2.1,data analysis,"data analysis techniques that can be used for this process include but are not limited to:  technical performance analysis. technical performance analysis compares technical accomplishments during project execution to the schedule of technical achievement. it requires the definition of objective, quantifiable measures of technical performance, which can be used to compare actual results against targets. such technical performance measures may include weight, transaction times, number of delivered defects, storage capacity, etc. deviation can indicate the potential impact of threats or opportunities.  reserve analysis.   throughout execution of the project, some individual project risks may occur with positive or negative impacts on budget or schedule contingency reserves. reserve analysis compares the amount of the contingency reserves remaining to the amount of risk remaining at any time in the project in order to determine if the remaining reserve is adequate. this may be communicated using various graphical representations, including a burndown chart.",[],['section 7.2.2.6.'],"

Data analysis is the process of inspecting, cleansing, transforming, and modeling data with the goal of discovering useful information, suggesting conclusions, and supporting decision-making.","['data analysis techniques', 'technical performance', 'technical performance analysis', 'technical performance analysis compares', 'performance analysis compares technical', 'technical', 'performance analysis', 'performance', 'analysis compares technical accomplishments', 'analysis']",,
11.7.2.2,audits,"  risk audits are a type of audit that may be used to consider the effectiveness of the risk management process. the project manager is responsible for ensuring that risk audits are performed at an appropriate frequency, as defined in the project risk management plan. risk audits may be included during routine project review meetings or may form part of a risk review meeting, or the team may choose to hold separate risk audit meetings. the format for the risk audit and its objectives should be clearly defined before the audit is conducted.not for distribution, sale or reproduction.",[],['section 8.2.2.5.'],"

Definition of 'Audits': An evaluation of risk management processes conducted at an appropriate frequency with clearly defined objectives.","['risk management process', 'risk', 'management process', 'risk audits', 'risk management', 'risk management plan', 'audit', 'separate risk audit meetings', 'risk audit meetings', 'audits']",,
11.7.2.3,meetings,"meetings that can be used during this process include but are not limited to risk reviews. risk reviews are scheduled regularly and should examine and document the effectiveness of risk responses in dealing with overall project risk and with identified individual project risks. risk reviews may also result in identification of new individual project risks, (including secondary risks that arise from agreed-upon risk responses), reassessment of current risks, the closing of risks that are outdated, issues that have arisen as the result of risks that have occurred, and identification of lessons to be learned for implementation in ongoing phases in the current project or in similar projects in the future. the risk review may be conducted as part of a periodic project status meeting or a dedicated risk review meeting may be held, as specified in the risk management plan.",[],[],"

'Meetings' are scheduled gatherings of individuals to discuss topics related to a project.","['risk reviews', 'individual project risks', 'dedicated risk review meeting', 'identified individual project risks', 'risk', 'risk review meeting', 'process include', 'risks', 'project risks', 'dedicated risk review']",,
11.7.3,monitor risks: outputs,,[],[],"
""Monitor risks: outputs involves gathering detailed information about the risks associated with a certain project, including potential threats, and then formulating the necessary steps that need to be taken in order to limit their effect.""

Monitor risks: outputs involves gathering detailed information about the risks associated with a certain project and formulating the necessary steps to limit their effect.",[],,
11.7.3.1,work performance information,  work performance information includes information on how project risk management is performing by comparing the individual risks that have occurred with the expectation of how they would occur. this information indicates the effectiveness of the response planning and response implementation processes.,[],['section 4.5.1.3.'],"

Work performance information is information that compares the individual risks that have occurred with the expectation of how they would occur in order to evaluate how effective project risk management is performing.","['work performance information includes', 'performance information includes information', 'project risk management', 'risk management is performing', 'comparing the individual risks', 'work performance information', 'performance information includes', 'work performance', 'information includes information', 'management is performing']",,
11.7.3.2,change requests,  the monitor risks process may result in a change request to the cost and schedule baselines or other components of the project management plan. change requests are processed for review and disposition through the perform integrated change control process (). change requests can include recommended corrective and preventive actions to address the current level of overall project risk or to address individual project risks.,[],"['section 4.3.3.4.', 'section 4.6']","

Change requests are formally submitted documents that propose changes to the cost and schedule baselines or other components of the project management plan. They are processed for review and disposition through the perform integrated change control process.","['cost and schedule baselines', 'project management plan', 'management plan', 'monitor risks process', 'cost and schedule', 'schedule baselines', 'integrated change control process', 'risks process may result', 'change requests', 'change control process']",,
11.7.3.3,project management plan updates,"any change to the project management plan goes through the organization change control process via a change request. this may affect any component of the project management plan.not for distribution, sale or reproduction.",[],[],"

Project Management Plan Updates are any changes to the Project Management Plan that are made through the organization's Change Control Process via a Change Request. These changes could potentially affect any component of the Project Management Plan.","['change control process', 'project management plan', 'organization change control', 'project management', 'change request', 'control process', 'project management plan.not', 'change control', 'management plan', 'management plan.not for distribution']",,
11.7.3.4,project documents updates,"project documents that may be updated as a result of carrying out this process include but are not limited to:  assumption log.   during the monitor risks process, new assumptions may be made, new constraints may be identified, and existing assumptions or constraints may be revisited and changed. the assumption log is updated with this new information.  issue log.   where issues are identified as part of the monitor risks process, these are recorded in the issue log.  lessons learned register.   the lessons learned register is updated with any risk-related lessons learned during risk reviews so these can be used on later phases of the project or in future projects.  risk register.   the risk register is updated with information on individual project risks generated during the monitor risks process. this may include adding new risks, updating outdated risks or risks that were realized, updating risk responses, and so forth.  risk report.   as new information becomes available through the monitor risks process, the risk report is updated to reflect the current status of major individual project risks and the current level of overall project risk. the risk report may also include details of the top individual project risks, agreed- upon responses and owners, and conclusions and recommendations. it may also include conclusions from risk audits on the effectiveness of the risk management process.",[],"['section 4.1.3.2.', 'section 4.3.3.3.', 'section 4.4.3.1.', 'section 11.2.3.1.', 'section 11.2.3.2.']","

Project documents updates refers to the updating of project documents (such as assumption log, issue log, lessons learned register, risk register, and risk report) as a result of carrying out a process, which may include adding new risks, updating outdated risks or risks that were realized, updating risk responses, etc.","['risks', 'risk', 'monitor risks process', 'monitor risks', 'risks process', 'project', 'process', 'updated', 'result of carrying', 'project risks']",,
11.7.3.5,organizational process assets updates,"organizational process assets that are updated as a result of the monitor risks process include but are not limited to:  templates for the risk management plan, risk register, and risk report; and  risk breakdown structure.",[],[],"

Organizational process assets updates refer to templates and structures that are updated during the Monitor Risks process, such as the Risk Management Plan, Risk Register, Risk Report, and Risk Breakdown Structure.","['monitor risks process include', 'organizational process assets', 'risk management plan', 'risk breakdown structure', 'monitor risks process', 'risks process include', 'management plan', 'breakdown structure', 'organizational process', 'updated as a result']",,
,cumulative probability distribution,,,,,,subclass of,probability
,active,,,,,,facet of,project risk
,budgets for risk management,,,,,,facet of,risk management
,risk,,,,,,facet of,risk
,tools,,,,,,subclass of,techniques
,risk owners,,,,,,field of this occupation,risk
,emergent risk,,,,,,subclass of,risks
,monitors,,,,,,has part,outputs
,iterate,,,,,,subclass of,software
,project objectives,,,,,,facet of,project
,risk appetite,,,,,,facet of,risk responses
,probability of occurrence,,,,,,subclass of,opportunity
,benefit,,,,,,subclass of,value
,monitor risks process,,,,,,facet of,project risk
,risk breakdown structure,,,,,,facet of,risk
,uncertainty,,,,,,subclass of,risk
,critical path,,,,,,facet of,risk model
,risk score,,,,,,part of,risk register
,project file,,,,,,use,project process control
,sensitivity analysis,,,,,,subclass of,risk analysis
,risk analysis,,,,,,subclass of,qualitative
,risks,,,,,,subclass of,uncertainty
,project risk,,,,,,facet of,project
,experts bias,,,,,,instance of,bias
,contingency response strategies,,,,,,subclass of,response plan
,risk exposure,,,,,,facet of,risk
,requirements documentation,,,,,,facet of,project requirements
,risk management,,,,,,subclass of,managing risk
,variability risk,,,,,,subclass of,uncertainty
,risk categories,,,,,,part of,risk breakdown structure
,threats,,,,,,opposite of,opportunities
,risk audits,,,,,,facet of,risk management
,product innovation,,,,,,subclass of,development
,escalate,,,,,,subclass of,strategies for threats
,outputs,,,,,,part of,monitors
,monitor risk,,,,,,facet of,project risk management
,risk mitigation,,,,,,facet of,risk
,monte carlo analysis,,,,,,use,cost risk
,event-based risk,,,,,,subclass of,risks
,probability,,,,,,subclass of,risk
,facilitation,,,,,,subclass of,interpersonal and team skills
,schedule contingency,,,,,,subclass of,budget
,redundancy,,,,,,subclass of,mitigation
,proximity,,,,,,subclass of,urgency
,risk premium,,,,,,facet of,risk
,project risk management,,,,,,subclass of,risk approach
,project review meeting,,,,,,subclass of,risk review meeting
,contract,,,,,,subclass of,technical documentation
,contingency reserve,,,,,,facet of,project risk management
,plan,,,,,,part of,project management
,secondary risk,,,,,,subclass of,residual risk
,monitoring,,,,,,facet of,risk
,probabilistic branch,,,,,,part of,probability distribution
,cost,,,,,,facet of,project objectives
,grid,,,,,,subclass of,data representation
,multicriteria decision analysis,,,,,,subclass of,decision-making
,cost-benefit analysis,,,,,,studies,cost-effectiveness
,cause(s),,,,,,has effect,effect(s)
,inaccuracy,,,,,,subclass of,instability
,pmbok,,,,,,use,project risk management
,project sponsor,,,,,,subclass of,project stakeholders
,project risk management plan,,,,,,facet of,project
,archive,,,,,,subclass of,archive
,beta,,,,,,subclass of,discrete distribution
,schedule risk analysis,,,,,,studies,schedule variability
,performance report,,,,,,facet of,seller
,risk perception,,,,,,facet of,risk
,categorizing identified risks,,,,,,facet of,risk
,cost estimates,,,,,,facet of,cost variability
,criticality analysis,,,,,,facet of,project critical path
,risk response plan,,,,,,use,risk response
,project risk exposure,,,,,,facet of,project
,passive acceptance,,,,,,opposite of,proactive action
,make-or-buy,,,,,,subclass of,contract
,project risks,,,,,,subclass of,uncertainty
,decision matrix,,,,,,use,decision analysis
,duration estimates,,,,,,subclass of,cost estimates
,waterfall,,,,,,subclass of,iteratively
,enterprise risk management,,,,,,subclass of,risk management
,expertise,,,,,,subclass of,knowledge
,distributio,,,,,,instance of,reporting format
,tornado diagram,,,,,,depicts,correlation coefficient
,escalated,,,,,,subclass of,threats
,stakeholder register,,,,,,subclass of,project document
,high-priority risks,,,,,,subclass of,risk
,benefit statement,,,,,,opposite of,problem statement
,proactive response,,,,,,subclass of,risk response
,hierarchical chart,,,,,,subclass of,graphical representation
,contingency reserves,,,,,,facet of,project risk
,sale,,,,,,different from,distribution
,qualitative risk analysis,,,,,,part of,plan risk management
,risk identification,,,,,,facet of,risk
,bias,,,,,,facet of,interpersonal conflict
,basis of estimates,,,,,,facet of,risk analysis
,problem statement,,,,,,opposite of,benefit statement
,project status meeting,,,,,,facet of,risk management plan
,risk approach,,,,,,subclass of,bias
,quantitative risk analysis,,,,,,subclass of,qualitative risk analysis
,risk response,,,,,,facet of,risk
,qualitative,,,,,,subclass of,risk analysis
,branches,,,,,,part of,decision tree
,influencing,,,,,,subclass of,interpersonal
,resource management plan,,,,,,has part,resource strategy
,detectability,,,,,,facet of,detectability
,project document,,,,,,facet of,project objectives
,project management information system,,,,,,use,project management information system
,cost and schedule baselines,,,,,,part of,project management plan
,enterprise-wide risk management,,,,,,subclass of,risk management
,technical resources,,,,,,part of,project team
,project manager,,,,,,field of this occupation,project team
,positive,,,,,,opposite of,negative
,project level,,,,,,different from,program level
,exploit,,,,,,subclass of,risk avoidance
,probability distribution,,,,,,has part,probabilistic branch
,strategic impact,,,,,,facet of,strategic goals
,free-form brainstorm session,,,,,,subclass of,brainstorming
,ownership,,,,,,different from,distribution
,probability and impact matrix,,,,,,facet of,probability
,risk audit,,,,,,subclass of,audit
,high-risk,,,,,,subclass of,scope
,scope baseline,,,,,,part of,project management plan
,low-priority threats,,,,,,subclass of,threat
,causes,,,,,,has effect,effects
,iterative process,,,,,,facet of,project risk
,program level,,,,,,different from,project level
,subcontracting,,,,,,subclass of,project risk
,technical knowledge,,,,,,subclass of,subject matter expertise
,benchmarking,,,,,,part of,academic studies
,stakeholder analysis,,,,,,subclass of,data analysis
,distribution,,,,,,different from,reproduction
,project complexity,,,,,,facet of,project size
,controllability,,,,,,subclass of,manageability
,riskiness,,,,,,subclass of,uncertainty
,distrnot,,,,,,subclass of,distribution
,root cause,,,,,,subclass of,risk
,requirements management plan,,,,,,part of,project management plan
,structured decision-making,,,,,,subclass of,strategy
,fallback plan,,,,,,subclass of,contingency plan
,real options analysis,,,,,,subclass of,mathematical optimization model
,insurance,,,,,,has part,risk premium
,risk probability,,,,,,facet of,risk
,project schedule,,,,,,subclass of,project documents
,symptoms,,,,,,subclass of,warning signs
,portfolio,,,,,,facet of,risk management
,manageability,,,,,,subclass of,control
,cost accounting,,,,,,part of,cost management
,passive,,,,,,subclass of,accepting
,technical performance analysis,,,,,,subclass of,data analysis
,issue log,,,,,,subclass of,project documents
,non-event risk,,,,,,subclass of,risk
,contingency,,,,,,part of,risk management
,cost baseline,,,,,,part of,schedule
,schedule,,,,,,facet of,project
,planning meeting,,,,,,subclass of,meetings
,project team,,,,,,part of,project schedule
,new technology,,,,,,subclass of,innovation
,risky,,,,,,studied by,risk management
,risk response strategy,,,,,,facet of,risk
,variance analysis,,,,,,subclass of,performance measurement
,cost risk analysis,,,,,,subclass of,forecasts
,cost effectiveness,,,,,,has part,implementation cost
,secondary risks,,,,,,subclass of,risk
,risk thresholds,,,,,,facet of,managing risk
,bench-scale model,,,,,,subclass of,prototype development
,joint venture,,,,,,subclass of,special-purpose companies
,quantitative,,,,,,subclass of,risk analysis
,sources of uncertainty,,,,,,subclass of,uncertainty
,root cause analysis,,,,,,subclass of,data analysis
,project life cycle,,,,,,has part,project schedule
,brainstorming,,,,,,subclass of,meeting
,timeliness,,,,,,subclass of,data quality
,risk threshold,,,,,,facet of,risk management
,risk impact levels,,,,,,facet of,project
,risk checklist,,,,,,facet of,project risk
,impact,,,,,,has effect,probability
,risk checklists,,,,,,subclass of,checklist
,analysis,,,,,,studies,risk
,dormancy,,,,,,subclass of,manageability
,external procurement,,,,,,subclass of,procurement
,alternatives analysis,,,,,,subclass of,data analysis
,confidentiality,,,,,,facet of,trust
,project status,,,,,,facet of,risk
,bubble chart,,,,,,depicts,bubble
,algorithm,,,,,,part of,software
,probability-impact score,,,,,,facet of,probability
,project strategy,,,,,,part of,project planning
,risk response strategies,,,,,,facet of,risk owners
,project priority,,,,,,facet of,project
,phase change,,,,,,part of,project life cycle
,mitigate/enhance,,,,,,subclass of,project risk
,iteration,,,,,,part of,project life cycle
,risk identification cycle,,,,,,part of,risk management plan
,correlation,,,,,,subclass of,logical dependency
,swot analysis,,,,,,subclass of,risk identification
,assumption log,,,,,,subclass of,project documents
,strengths,,,,,,opposite of,weaknesses
,tools and techniques,,,,,,use,risk management
,award,,,,,,part of,contract
,resource strategy,,,,,,part of,resource management plan
,technology upgrade,,,,,,subclass of,technologies
